Province,District,Dengue_Cases,Month,Year,Date,City,Temp_Max_Mean,Temp_Min_Mean,Temp_Mean,Precipitation,Rain_Sum,Humidity_Proxy,Windspeed_Max,Latitude,Longitude
North Western,Kurunegala,612,11,2019,2019-11-01,Kurunegala,29.646666666666665,22.4,25.513333333333332,164.2,164.2,3.5676666666666668,10.003333333333334,7.5,80.399994
North Western,Kurunegala,655,12,2019,2019-12-01,Kurunegala,28.851612903225806,22.796774193548387,25.293548387096774,137.9,137.9,3.2158064516129032,14.364516129032259,7.5,80.399994
North Western,Puttalam,79,1,2019,2019-01-01,Puttalam,29.580645161290324,22.88064516129032,25.88064516129032,3.5,3.5,4.614516129032259,17.693548387096776,8.0,79.80002
North Western,Puttalam,60,2,2019,2019-02-01,Puttalam,30.95,24.36785714285714,27.289285714285715,50.0,50.0,4.589285714285714,15.817857142857141,8.0,79.80002
North Western,Puttalam,52,3,2019,2019-03-01,Puttalam,33.461290322580645,25.219354838709677,28.864516129032257,23.2,23.2,5.563548387096774,13.558064516129033,8.0,79.80002
North Western,Puttalam,29,4,2019,2019-04-01,Puttalam,31.916666666666668,26.473333333333336,28.813333333333333,93.2,93.2,4.541333333333333,12.59,8.0,79.80002
North Western,Puttalam,33,5,2019,2019-05-01,Puttalam,31.1,26.916129032258063,28.725806451612904,40.4,40.4,4.637419354838709,19.961290322580645,8.0,79.80002
North Western,Puttalam,92,6,2019,2019-06-01,Puttalam,30.436666666666667,26.973333333333336,28.44333333333333,74.0,74.0,4.305000000000001,23.183333333333334,8.0,79.80002
North Western,Puttalam,137,7,2019,2019-07-01,Puttalam,30.15806451612903,26.345161290322583,28.006451612903227,57.4,57.4,4.420645161290322,21.812903225806455,8.0,79.80002
North Western,Puttalam,150,8,2019,2019-08-01,Puttalam,29.164516129032258,25.567741935483873,27.05806451612903,195.2,195.2,3.584838709677419,21.312903225806455,8.0,79.80002
North Western,Puttalam,159,9,2019,2019-09-01,Puttalam,29.076666666666664,25.206666666666667,26.81,170.0,170.0,3.7643333333333335,17.46333333333333,8.0,79.80002
North Western,Puttalam,355,10,2019,2019-10-01,Puttalam,28.793548387096774,24.63225806451613,26.30322580645161,471.40000000000003,471.40000000000003,3.0632258064516127,11.819354838709677,8.0,79.80002
North Western,Puttalam,624,11,2019,2019-11-01,Puttalam,29.633333333333333,24.623333333333335,26.63,134.6,134.6,3.6189999999999998,12.353333333333333,8.0,79.80002
North Western,Puttalam,487,12,2019,2019-12-01,Puttalam,29.25483870967742,24.248387096774195,26.225806451612904,163.3,163.3,3.4129032258064513,17.12258064516129,8.0,79.80002
North central,Anuradhapura,64,1,2019,2019-01-01,Puttalam,29.580645161290324,22.88064516129032,25.88064516129032,3.5,3.5,4.614516129032259,17.693548387096776,8.0,79.80002
North central,Anuradhapura,53,2,2019,2019-02-01,Puttalam,30.95,24.36785714285714,27.289285714285715,50.0,50.0,4.589285714285714,15.817857142857141,8.0,79.80002
North central,Anuradhapura,51,3,2019,2019-03-01,Puttalam,33.461290322580645,25.219354838709677,28.864516129032257,23.2,23.2,5.563548387096774,13.558064516129033,8.0,79.80002
North central,Anuradhapura,34,4,2019,2019-04-01,Puttalam,31.916666666666668,26.473333333333336,28.813333333333333,93.2,93.2,4.541333333333333,12.59,8.0,79.80002
North central,Anuradhapura,36,5,2019,2019-05-01,Puttalam,31.1,26.916129032258063,28.725806451612904,40.4,40.4,4.637419354838709,19.961290322580645,8.0,79.80002
North central,Anuradhapura,62,6,2019,2019-06-01,Puttalam,30.436666666666667,26.973333333333336,28.44333333333333,74.0,74.0,4.305000000000001,23.183333333333334,8.0,79.80002
North central,Anuradhapura,78,7,2019,2019-07-01,Puttalam,30.15806451612903,26.345161290322583,28.006451612903227,57.4,57.4,4.420645161290322,21.812903225806455,8.0,79.80002
North central,Anuradhapura,103,8,2019,2019-08-01,Puttalam,29.164516129032258,25.567741935483873,27.05806451612903,195.2,195.2,3.584838709677419,21.312903225806455,8.0,79.80002
North central,Anuradhapura,54,9,2019,2019-09-01,Puttalam,29.076666666666664,25.206666666666667,26.81,170.0,170.0,3.7643333333333335,17.46333333333333,8.0,79.80002
North central,Anuradhapura,105,10,2019,2019-10-01,Puttalam,28.793548387096774,24.63225806451613,26.30322580645161,471.40000000000003,471.40000000000003,3.0632258064516127,11.819354838709677,8.0,79.80002
North central,Anuradhapura,254,11,2019,2019-11-01,Puttalam,29.633333333333333,24.623333333333335,26.63,134.6,134.6,3.6189999999999998,12.353333333333333,8.0,79.80002
North central,Anuradhapura,270,12,2019,2019-12-01,Puttalam,29.25483870967742,24.248387096774195,26.225806451612904,163.3,163.3,3.4129032258064513,17.12258064516129,8.0,79.80002
North central,Polonnaruwa,39,1,2019,2019-01-01,Kalmunai,27.19677419354839,24.12258064516129,25.65806451612903,63.9,63.9,3.7600000000000002,20.806451612903224,7.4000015,81.80002
North central,Polonnaruwa,19,2,2019,2019-02-01,Kalmunai,28.153571428571432,24.614285714285717,26.37857142857143,103.8,103.8,3.8003571428571425,16.975,7.4000015,81.80002
North central,Polonnaruwa,25,3,2019,2019-03-01,Kalmunai,30.0,24.970967741935485,27.529032258064515,26.8,26.8,5.050000000000001,15.764516129032257,7.4000015,81.80002
